key,en,fr
TEST_KEY,test,test
PUZZLE_DESC,"Gather up all 9 of your friends to play music together!\nA large, challenging map made for the Post-Jam Jam.\nHas more mechanics and is more puzzle-centric.","Rassemblez 9 amis pour jouer de la musique ensemble !\nUn niveau grand et difficile fait pour la Post-Jam Jam.\nContient plus de mécaniques de puzzle."
JAM_DESC,"Gather up all 9 of your friends to play music together!\nAn easier map initially made for the GMTK Game Jam.\nMore of a chill, short adventure.","Rassemblez 9 amis pour jouer de la musique ensemble !\nUn niveau plus facile conçu pour la GMTK Game Jam.\nUne aventure courte et tranquille."
UI_MEET_ACCEPT,"Take them","Prendre"
UI_MEET_REJECT,"Leave them","Laisser"
UI_LEAVE_TITLE,"Who do we leave here?","Qui va-t-on déposer ici ?"
UI_LEAVE_NOONE,"No one","Personne"
TB_LOL,LMA0000000000000000000000,L000000000000000000000L
RUDDY_MEET_STEVIE,"We should go meet [color=#e948b2]Stevyyye[color=white]! Take a ryyyght!","On peut aller voir [color=#e948b2]Stevie[color=white] ! À droite !"
PARKER_TWISTY,"Don't follow that twisty path please! My long carriage can't handle that.","Ne prends pas ce chemin sinueux ! Mon wagon est bien trop long !"
TB_HILL,"N0 way 1'm climbing that h1ll 0n the r1ght","Flemme de gr1mper sur la c0ll1ne à droite"
STEVIE_RESP_TB,"Come on dude, really?","T'es sérieux, mec ?"
TEAMUP_STEVIE_ON,"Hey [color=#27592e]Kim[/color], we could clear that path on the right!","Hey, [color=#27592e]Kim[/color], on peut déblayer le chemin de droite !"
TEAMUP_KIM_ON,"Sure!","Ok !"
TEAMUP_STEVIE_OFF,"I could clear that right path with [color=#27592e]Kim[/color] if we found him!","Je pourrais déblayer le chemin de droite avec [color=#27592e]Kim[/color] si on le trouvait !"
TEAMUP_KIM_OFF,"I could clear the rightmost path, but I'm gonna need [color=#e948b2]Stevie's[/color] help for that.","Je pourrais déblayer ce chemin à droite, mais il me faudrait l'aide de [color=#e948b2]Stevie[/color]."
TUNNEL_LOUIS,"That tunnel on the right is way too small for me.","Ce tunnel à droite est bien trop petit pour moi."
TUNNEL_KIM_RESP,"Same, my carriage is way too big for that!","Pareil, mon wagon est beaucoup trop grand !"
TUNNEL_KIM,"My carriage is way too big for that tunnel on the right!","Mon wagon est beaucoup trop grand pour ce tunnel à droite !"
SAND_JIMMY,"We are NOT going to the left. That sand is gonna get everywhere.","On ne va PAS à gauche. Ça va mettre du sable partout."
PYTHA_LOOPING,"Take a left! We're going for a ride!","Première à gauche ! On prend le looping !"
PUZZ_PARKER_MICE1,"EW! I hate mice!!! Don't go there!","BEURK ! Je déteste les souris ! Va pas par là !"
PUZZ_KIM_HINT1,"There has to be a way for me to get through here...","Il doit bien y avoir un moyen pour que je passe par ce chemin..."
PUZZ_KIM_OBSTACLE1,"Sorry, my rocket-car can't fit under these bridges.","Désolé, mon wagon-fusée ne passe pas sous ces ponts."
PUZZ_STEVIE_LEAVE1,"I've been trying to leave this place for a while. I hope you can find the way!","Ça fait un moment que j'essaie de sortir d'ici. J'espère que tu peux m'aider !"
PUZZ_STEVIE_LEAVE2,"Not touching that pepper, though.","Je touche pas à ce piment, par contre."
PUZZ_KIM_GOFAST,"We can go left if we go fast!","On peut aller à gauche à pleine vitesse !"
PUZZ_CAT_MEOW1,"Meow!!!","Miaou!!!"
PUZZ_PARKER_MICE2,"MORE MICE??? NOPE!","ENCORE DES SOURIS??? SURTOUT PAS!"
PUZZ_JIMMY_FIXBUTTON_FAR1,"I could fix that button over there...","Je pourrais réparer ce bouton là-bas..."
PUZZ_JIMMY_FIXBUTTON_FAR2,"I want to fix things","J'aime bien réparer des trucs."
PUZZ_LOUIS_HINT_KIM,"It should be possible to get [color=#3e8548]Kim[/color] to come here, but it's pretty tricky...","Nous devrions pouvoir amener [color=#3e8548]Kim[/color] par ici, mais cela risque d'être compliqué..."
PUZZ_RUDDY_BRIDGE,"The sound of my drums could break that bridge! That's a bad idea!","Le son de ma batterie pourrait casser ce pont ! Mauvais plan !"
PUZZ_JIMMY_HINT_TB,"I know a friend who could help us here... I think.","J'ai un ami qui pourrait nous aider par ici... je pense."
PUZZ_TB_HINT_CONNECT,"NEED... C0NNECT1NG...\nNEED... MY [color=#9e920e]J1MMY[/color]...","BES01N... BRANCHEMENT...\nBES01N... DE [color=#9e920e]J1MMY[/color]..."
PUZZ_RUDDY_FREE1,"Thanks! I'm free!","Merci ! Enfin libre !"
PUZZ_JIMMY_FIXBUTTON,"All fixed, and already pressed!","Réparé et appuyé !"
PUZZ_STEVIE_PEPPERS,"I said NO peppers!","J'ai dit PAS de piments !"
PUZZ_STEVIE_FLAVOR_HUB3,"This one looks pretty tricky.","Ce chemin là a l'air assez complexe."
PUZZ_KIM_TUNNEL,"Sorry, my rocket-car is way too tall to fit into that tunnel.","Désolé, mon wagon-fusée pourra jamais rentrer dans ce tunnel."
PUZZ_JIMMY_FIXRAIL1,"I can fix anything!","Je peux tout réparer !"
PUZZ_PARKER_OPENDOOR,"The gates shall open before me!","Sésame, ouvre-toi !"
PUZZ_CAT_PURR,"Purrrr....","Ronron...."
PUZZ_STEVIE_PASSMOUSE,"Finally, we can come here.","Nous pouvons enfin venir ici."
PUZZ_TB_STARTUP,"P0WER 0NL1NE.\n1N1T1AT1NG S0NG R0UT1NE...","ÉNERG1E RECHARGÉE. DÉMARRAGE DU PR0CESSUS DE CHANS0N..."
LANG_NAME,"English","Français"
PUZZ_STEVIE_WELLPLAYED,"Well played!","Bien joué !"
