keys,en
Character/3d/name,Kim
Character/3d/nicknames,basse
Character/3e/name,Ruddy
Character/3e/nicknames,batterie
Character/3f/name,Jojo
Character/3f/nicknames,cat
Character/40/name,Stevie
Character/40/nicknames,clavier
Character/41/name,Jimmy
Character/41/nicknames,guitar
Character/42/name,Parker
Character/42/nicknames,saxo
Character/43/name,Pytha
Character/43/nicknames,pytha
Character/44/name,Louis
Character/44/nicknames,trompette
Character/45/name,TB-303
Character/45/nicknames,vocoder
Character/46/name,unit_test_character
Character/46/nicknames,
